,audio,transcription,similarity
59,common_voice_en_32111271.mp3,"A high-pitched young woman, does not understand anything that she says, people's speech is in the background.",0
60,common_voice_en_60389.mp3,Adult male with confident emotionless voice and convincing speech,1
61,common_voice_en_60389.mp3,"Adult female with high pitched monotone voice, clear pronunciation and quick pace.",0
62,common_voice_en_17948028.mp3,young male with Russian accent and high pitched voice with a music on the background,1
63,common_voice_en_17948028.mp3,Hollow mature male voice with clear pronunciation speaks slowly with children sounds as background noise.,0
64,common_voice_en_102812.mp3,Adult male with confident voice speaking fast,1
65,common_voice_en_102812.mp3,"Adult male with British accent, popmpous marvellous tone, clear pronunciation, good intelligibility. ",0
66,common_voice_en_33314356.mp3,Adult male with low pitched and calm voice and dull speech,1
67,common_voice_en_33314356.mp3,"Brittish accent, young female voice, formal, clear and easy to understand pronounciation even though harder words are used, there is a slight humming noise in the background.",0
68,p299_111_mic1.flac,Adult female with sharp and confident voice,1
69,p299_111_mic1.flac,Adult male with authoritative yet conversational voice speaks confidently,0
70,common_voice_en_28542395.mp3,Adult male with Indian accent and flat voice,1
71,common_voice_en_28542395.mp3,"Mature male with emotionless, boring voice.",0
72,common_voice_en_537684.mp3,Adult male with soft and quiet voice and dull speech,1
73,common_voice_en_537684.mp3,Young adult male with creaky voice and calm and slow speech.,0
74,common_voice_en_23597405.mp3,Mature male with confident sharp voice and convincing speech,1
75,common_voice_en_23597405.mp3,Adult male with bass robotic voice.,0
76,p284_006_mic1.flac,Adult male with deep charming voice and convincing speech,1
77,p284_006_mic1.flac,Adult male voice with clear pronunciation and confident speech speaking slowly.,0
78,common_voice_en_20062259.mp3,Adult female with sof confident voice and convincing speech,1
79,common_voice_en_20062259.mp3,Mature male with British accent and deep voice asks a question.,0
80,common_voice_en_22926207.mp3,Young female with a high pitched shrill voice speaks with unclear pronunciation and an Australian accent,1
81,common_voice_en_22926207.mp3,A younger man with an American accent speaks slowly and clearly.,0
82,common_voice_en_18639656.mp3,Adult male with unclear pronunciation and nasal weak voice,1
83,common_voice_en_18639656.mp3,Adult male with Indian accent speaks with low pitched voice and unclear pronunciation ,0
84,common_voice_en_19248557.mp3,Adult American male speaks with a smoky voice and is eating something while speaking ,1
85,common_voice_en_19248557.mp3,Adult male with deep charming voice and convincing speech,0
86,p323_171_mic1.flac,Adult female speaks with an excited high energy tone and a cheery powerful voice,1
87,p323_171_mic1.flac,"Adult male with a German accent and a deep, rich and full, raspy, monotone voice.",0
88,p234_031_mic1.flac,Young adult female with a British accent speaks with a low pitched appealing smooth voice in a serious tone,1
89,p234_031_mic1.flac,Adult male with a low pitched monotone voice speaks fast.,0
90,common_voice_en_73643.mp3,Adult male wih a thin voice,1
91,common_voice_en_73643.mp3,Adult woman with a higher pitched voice speaks in a convincing way with very clear and proper pronounciation,0
92,p351_226_mic1.flac,Young adult female with a Scottish accent speaks with an airy voice ,1
93,p351_226_mic1.flac,The thin voice of a young male with a brief pronunciation. ,0
94,common_voice_en_587177.mp3,Adult male with a throaty strangled voice ,1
95,common_voice_en_587177.mp3,Deep pitched sound.,0
96,common_voice_en_27627672.mp3,Adult male with a monotone silvery voice speaks in an American accent with no background noise,1
97,common_voice_en_27627672.mp3,"Adult man speaks with a high-pitched, matter-of-fact voice.",0
98,common_voice_en_20801037.mp3,Adult American male speaks enthusiastically and informatively with a strong smooth voice and higher than average pitch,1
99,common_voice_en_20801037.mp3,Adult female with quiet and appealing voice speaks fast,0
100,common_voice_en_32850490.mp3,Mature British male speaks with a strong guttural voice and narrative tone,1
101,common_voice_en_32850490.mp3,Adult male with clear pronunciation and confident speech,0
102,common_voice_en_517926.mp3,Adult male with an Indian accent speaks confidently with a smooth voice,1
103,common_voice_en_517926.mp3,The loud and emotional voice of an adult male with a clear pronunciation. ,0
104,p234_050_mic1.flac,Female with a British accent and sharp voice speaks quickly,1
105,p234_050_mic1.flac,Adult male speaks calmly and clearly with American accent.,0
106,common_voice_en_208716.mp3,Older mature male with a slightly worn thin voice speaks emotionlessly,1
107,common_voice_en_208716.mp3,A teenage boy with clear pronunciation and a deep matter-of-fact voice.,0
108,common_voice_en_24010606.mp3,Older mature male with a German accent speaks with a deep gravelly voice in a narrative tone,1
109,common_voice_en_24010606.mp3,"Young female with British accent, nasal low pitched voice and clear pronunciation.",0
110,common_voice_en_60335.mp3,Mature female with an American accent speaks in a menacing tone and low pitched warm voice,1
111,common_voice_en_60335.mp3,Adult female  with clam voice and convincing tone,0
112,common_voice_en_87549.mp3,Mature male with a strong harsh voice speaks in a British accent ,1
113,common_voice_en_87549.mp3,"Adult deep male voice with clear pronunciation with calm and confident, emotionless speech.",0
114,common_voice_en_18252605.mp3,Adult male with an American accent and nerdy sniveling low pitched voice hesitates while speaking,1
115,common_voice_en_18252605.mp3,Young male with British accent is speaking in frustrated voice with clear pronunciation.,0
116,common_voice_en_19062537.mp3,Adult male with a high pitched voice speaks with unclear pronunciation and croaky voice,1
117,common_voice_en_19062537.mp3,"Mature male with deep and smooth voice, clear pronunciation and slow pace.",0
118,common_voice_en_121339.mp3,Adult male with a confused tone and smooth thin voice,1
119,common_voice_en_121339.mp3,"Adult male with a British accent, and mid-pitched voice pronounciates words clear ",0
120,common_voice_en_23988568.mp3,Adult male with a low pitched voice speaks with a buzzing background noise ,1
121,common_voice_en_23988568.mp3,Old female speaks slowly with emotionless voice,0
122,common_voice_en_162983.mp3,Elderly woman with a medium pitched voice speaking hastily,1
123,common_voice_en_162983.mp3,An elderly woman with American accent and bass voice speaks nervously ,0
124,p237_130_mic1.flac,Adult male with a low pitched voice speaking quickly in a serious but monotone voice,1
125,p237_130_mic1.flac,Adult male with curious voice,0
126,common_voice_en_22299629.mp3,Elderly male with a deep clear voice speaks in a serious tone,1
127,common_voice_en_22299629.mp3,Adult male with a calm and confident voice and weak Russian accent,0
128,p247_063_mic1.flac,Adult male with a high pitched voice and a British accent,1
129,p247_063_mic1.flac,"Elderly man speaks slowly with a deep, husky voice in a robotic way.",0
130,common_voice_en_26013761.mp3,Adult male with a low pitched voice an an Italian accent speaks quickly with unclear pronounciation,1
131,common_voice_en_26013761.mp3,Adult male voice with unclear pronunciation with calm and emotionless yet interested speech makes pauses while speaking.,0
132,p362_417_mic1.flac,Adult woman with a low pitched serious voice,1
133,p362_417_mic1.flac,Adult man speaks clearly and vividly.,0
134,common_voice_en_8607933.mp3,Adult male with a serious tone and low pitched voice speaking formally,1
135,common_voice_en_8607933.mp3,Elderly male with a deep clear voice speaks in a serious tone,0
136,p345_127_mic1.flac,Adult male with a medium pitched friendly voice ,1
137,p345_127_mic1.flac,"A high-pitched young woman, does not understand anything that she says, people's speech is in the background.",0
138,common_voice_en_21796469.mp3,Adult male with a high pitched voice pauses heavily on a comma,1
139,common_voice_en_21796469.mp3,Mature woman with unclear pronunciation.,0
140,common_voice_en_27643498.mp3,Adult male with a low pitched voice and a British accent ,1
141,common_voice_en_27643498.mp3,An adult man with bass voice pauses while speaking ,0
142,common_voice_en_11734.mp3,Old male with a low pitched voice speaks convincingly,1
143,common_voice_en_11734.mp3,An adult woman with a slight Scottish accent speaking softly and calmly.,0
144,common_voice_en_18115873.mp3,Adult male speaks in a deep voice and a British accent,1
145,common_voice_en_18115873.mp3,"Mature female with American accent, upsetting monotone soft voice and clear pronunciation.",0
146,common_voice_en_18811928.mp3,Adult male with a low pitched voice telling a story,1
147,common_voice_en_18811928.mp3,"Male child speaks with a quiet, brittle voice and clear pronunciation.",0
148,p276_243_mic1.flac,Adult woman with a formal tone speaks with a medium pitched voice,1
149,p276_243_mic1.flac,Young male with high pitched piercing voice and an American accent speaks with normal speed.,0
150,common_voice_en_121637.mp3,Adult male with a low pitched voice speaks with an accent,1
151,common_voice_en_121637.mp3,Adult male with British accent and high pitched voice stumbles while speaking,0
152,common_voice_en_18314103.mp3,Older male with a deep voice speaking in a sad tone,1
153,common_voice_en_18314103.mp3,A young British female speaks clearly.,0
154,common_voice_en_17292918.mp3,Older male with a low pitched voice asking a question,1
155,common_voice_en_17292918.mp3,Mature male with a strong harsh voice speaks in a British accent ,0
156,p310_194_mic1.flac,Adult woman with a higher pitched voice speaks in a convincing way with very clear and proper pronounciation,1
157,p310_194_mic1.flac,Adult female with low pitched and moody voice.,0
158,common_voice_en_22972524.mp3,Young adult male with a high pitched voice and an excited tone,1
159,common_voice_en_22972524.mp3,"Adult male with clear voice speaking calmly with clear pronunciation, stutters while speaking.",0
160,common_voice_en_21686892.mp3,"An adult male speaks clearly but his ""p"" sound is over-pronounced.",1
161,common_voice_en_21686892.mp3,High pitched piercing adult female voice with unclear accent and unclear pronunciation with slow-paced chopped speech and loud rumbling noise in the background.,0
162,common_voice_en_20283080.mp3,An adult male with a thick foreign accent speaking in a low voice and slowly.,1
163,common_voice_en_20283080.mp3,Adult female calm and monotone voice.,0
164,common_voice_en_17957982.mp3,An adult male speaking loud and clearly.,1
165,common_voice_en_17957982.mp3,Adult male with a throaty strangled voice ,0
166,common_voice_en_23943004.mp3,"A young girl speaking loudly and in a slightly aggravated tone, some sort of machine can be heard in the background.",1
167,common_voice_en_23943004.mp3,Adult male with high pitched and serious voice speaking convincingly.,0
168,common_voice_en_19025984.mp3,"An adult male speaking calmly and softly, and crickets can be heard in the background.",1
169,common_voice_en_19025984.mp3,Young female voice with clear pronunciation that sounds like a native english speaker with outdoor road sounds as background noises.,0
170,common_voice_en_27179413.mp3,A mature male with a slightly croaky voice speaking softly and calmly.,1
171,common_voice_en_27179413.mp3,Adult man speaking clearly and with a low pitched and emotionless voice,0
172,common_voice_en_24276272.mp3,"A mature man with a foreign accent, speaking in low voice and a slow manner.",1
173,common_voice_en_24276272.mp3,Adult female with high pitched monotone voice speaks slowly,0
174,common_voice_en_696759.mp3,A mature male speaking in a low rough voice.,1
175,common_voice_en_696759.mp3,"Adult male voice with unclear pronunciation probably with Indian accent speaks emotionally, stumbles while speaking",0
176,common_voice_en_561443.mp3,An adult male with an American accent speaking in a soft but nasal voice.,1
177,common_voice_en_561443.mp3,Adult female with a deep voice speaks emotionlessly.,0
178,p265_169_mic1.flac,"An adult woman speaking in what might be a Scottish accent, firmly.",1
179,p265_169_mic1.flac,A mature man with a deep voice and a neutral English accent speaks slowly in likely disappointment.,0
180,p306_314_mic1.flac,An adult woman speaking in a low voice but very calmly and clearly.,1
181,p306_314_mic1.flac,"Mature adult male with British accent speaking in a clear, convincing, lower-pitched voice.",0
182,common_voice_en_330852.mp3,An adult male speaking in a very flowy manner and very clearly.,1
183,common_voice_en_330852.mp3,Adult female with low pitched and moody voice.,0
184,common_voice_en_60768.mp3,An adult man with a low voice speaking calmly but the audio file is quite muffled.,1
185,common_voice_en_60768.mp3,A woman with a childlike voice speaks unintelligibly.,0
186,common_voice_en_20260724.mp3,An adult male with a low voice speaking in a loud and clear manner but is too close to the mic.,1
187,common_voice_en_20260724.mp3,Adult male voice with clear pronunciation and confident speech speaking slowly.,0
188,common_voice_en_217794.mp3,"An adult male with a slight British accent, speaking in a low and quiet voice, almost whispering.",1
189,common_voice_en_217794.mp3,"Adult American woman with a clear voice but monotone, uninterested speech, takes a deep breath in the beginning.",0
190,common_voice_en_19079900.mp3,"An adult man with a nasal voice speaking expressively, almost like a nerd.",1
191,common_voice_en_19079900.mp3,Adult male speaks with modulated confident voice with clear pronunciation.,0
192,common_voice_en_28132516.mp3,An adult man speaking clearly but in an uninteresting manner.,1
193,common_voice_en_28132516.mp3,"Adult male with low pitched emotionless voice, sounds middle-aged, talks slow and has good intelligibility.",0
194,p249_108_mic1.flac,An adult woman with a slight Scottish accent speaking softly and calmly.,1
195,p249_108_mic1.flac,Adult male with deep voice speaks slow and convincing,0
196,common_voice_en_18115067.mp3,Adult male with an Indian accent who lacks pauses in his speech.,1
197,common_voice_en_18115067.mp3,Adult man speaking loudly with confidence but audio cutting quieter mid-sentence,0
198,common_voice_en_23774101.mp3,An adult male with a nasal voice speaking loudly and clearly.,1
199,common_voice_en_23774101.mp3,Mature woman speaks calmly in a flat way.,0
200,common_voice_en_172009.mp3,"Adult male with Germanic accent speaking in a clear, but unsure tone of voice.",1
201,common_voice_en_172009.mp3,Young adult female with accent with low pitched voice,0
202,common_voice_en_20045011.mp3,"A younger adult female with American accent and high pitched, more childlike voice speaks in a clear, convincing manner",1
203,common_voice_en_20045011.mp3,"Adult male with Estonian accent, clear pronunciation and monotone flat voice.",0
204,common_voice_en_35707.mp3,"Adult male with Unclear accent speaking in a clear, expressive tone of voice, muffled due to the low sound.",1
205,common_voice_en_35707.mp3,Adult male with deep charming voice and convincing speech,0
206,common_voice_en_21076076.mp3,"Younger adult male with American accent speaking in a clear tone of voice, muffled by the low sound of the recording.",1
207,common_voice_en_21076076.mp3,A man in his 30s with an accent.,0
208,common_voice_en_18998643.mp3,"Adult male with British accent speaking in a slightly muddled way with faster tempo, high sound, with a slight background noise.",1
209,common_voice_en_18998643.mp3,An adult man with American accent stumbles while speaking ,0
210,p274_115_mic1.flac,"Younger adult male with British accent speaking in a clear, expressive tone of voice.",1
211,p274_115_mic1.flac,An adult male speaking in a deeper voice.,0
212,common_voice_en_28425647.mp3,"A mature woman with American accent speaks in a clear, pronounced, matter of fact tone",1
213,common_voice_en_28425647.mp3,"Adult male, a young man with rather high pitched voice and dulcinate tone, has a hissing ""s"" sibilant, talks calmly and with good intelligibility. ",0
214,common_voice_en_537940.mp3,"Adult male with British accent speaking in a clear voice with faster tempo, but with low sound, which slightly muffles his speech.",1
215,common_voice_en_537940.mp3,"Adult male quiet, calm and monotone voice.",0
216,p271_421_mic1.flac,"Younger adult male with American accent speaking in a clear but almost monotone voice with faster tempo, high sound.",1
217,p271_421_mic1.flac,Adult male with an African accent and a nasal voice,0
218,common_voice_en_22230421.mp3,"Adult male with American accent speaking one word in a slightly muffled way, with a noticeable click in the end.",1
219,common_voice_en_22230421.mp3,Young male with an Eastern European accent and a flat bored voice with background noise of a barking dog.,0
220,common_voice_en_20243949.mp3,"Older adult female with British accent speaking in a clear tone of voice, interrupted by loud clicks and hisses throughout.",1
221,common_voice_en_20243949.mp3,"Mature female voice with clear pronunciation, sounds like a native english speaker probably with American accent with high pitched hiss as a background noise.",0
222,common_voice_en_18725426.mp3,"Older male with American accent speaking in a convincing, serious, lower-pitched tone of voice.",1
223,common_voice_en_18725426.mp3,Late teenage girl with American accent and sharp voice with clear pronunciation,0
224,common_voice_en_2151105.mp3,Younger male with American accent speaking in a clear way but with a slightly unclear pronunciation.,1
225,common_voice_en_2151105.mp3,"A young girl speaking loudly and in a slightly aggravated tone, some sort of machine can be heard in the background.",0
226,common_voice_en_20239344.mp3,"Mature adult male with British accent speaking in a clear, convincing, lower-pitched voice.",1
227,common_voice_en_20239344.mp3,A man in his 30s with a clear pronunciation.,0
228,common_voice_en_23858946.mp3,"Adult female with British accent speaking in a clear, slightly whispering tone of voice.",1
229,common_voice_en_23858946.mp3,"Male voice that gets higher pitched, a bit squeaky, questioning.",0
230,common_voice_en_18012939.mp3,"Adult female with European accent speaking in a clear voice with a slower, measured tempo.",1
231,common_voice_en_18012939.mp3,Man speaks unclearly due to technical quality of the sound,0
232,common_voice_en_623517.mp3,"Adult male with American accent speaking in an upbeat voice, in a faster tone.",1
233,common_voice_en_623517.mp3,"Adult male voice with unclear pronunciation probably with Indian accent speaks emotionally, stumbles while speaking",0
234,p226_040_mic1.flac,"Younger adult male with British accent speaking in a clear, curt tone of voice.",1
235,p226_040_mic1.flac,"Adult woman (middle-aged or rather elderly) with professional authoritative voice, clear pronunciation.",0
236,p304_122_mic1.flac,"Adult male with British accent speaking in a clear, matter-of-fact tone of voice.",1
237,p304_122_mic1.flac,Adult female with high pitched voice and unclear pronunciation,0
238,common_voice_en_27224457.mp3,"Adult female with American accent speaking in a clear, explanatory tone of voice.",1
239,common_voice_en_27224457.mp3,Woman with Indian accent speaks clear and loud,0
240,common_voice_en_19672193.mp3,A young Scottish female with a deep raspy voice speaks calmly.,1
241,common_voice_en_19672193.mp3,Young adult male with French accent speaks emotionless with sounds of breathing,0
242,p279_170_mic1.flac,A young British male with a rather high-pitched voice speaks in a cheery voice with some vocal fry at the end.,1
243,p279_170_mic1.flac,Adult male with a serious emotionless voice and clear pronunciation.,0
244,common_voice_en_27405350.mp3,A young Indian male speaks in a raised monotone.,1
245,common_voice_en_27405350.mp3,Adult male voice is speaking monotously.,0
246,p268_080_mic1.flac,A young British female speaks clearly.,1
247,p268_080_mic1.flac,"Adult male with smoky and deep voice speaks with unclear pronunciation, sounding a lot like Alan Rickman",0
248,p364_046_mic1.flac,A young male with a Scottish-like accent asks a question rather clearly.,1
249,p364_046_mic1.flac,Adult male with deep low voice and unclear pronunciation.,0
250,common_voice_en_18483508.mp3,Clicks surround a mature American male with a deep voice speaking very clearly.,1
251,common_voice_en_18483508.mp3,"Adult male voice with deep, seductive and low pitched voice, talking in monotone and slowly.",0
252,common_voice_en_27151727.mp3,A young Indian male with a mellow deep voice speaks clearly.,1
253,common_voice_en_27151727.mp3,Elderly woman with British accent is speaking with pauses while kids are playing in the background.,0
254,common_voice_en_21968010.mp3,A loud recording of thuds surrounding a young American female with a mellow pleasant voice speaking rather quickly.,1
255,common_voice_en_21968010.mp3,High pitched piercing adult female voice with unclear accent and unclear pronunciation with slow-paced chopped speech and loud rumbling noise in the background.,0
256,p315_248_mic1.flac,A young American man with a slightly feminine voice speaks hurriedly but clearly.,1
257,p315_248_mic1.flac,The deep voice of an adult male with a fast pronunciation. ,0
258,common_voice_en_19599907.mp3,A young American man speaks with some degree of fuzziness over slight white noise.,1
259,common_voice_en_19599907.mp3,"Adult male with high pitched and flat voice, pausing while speaking with static noise in background.",0
260,common_voice_en_645000.mp3,A young non-native male speaker with a rather deep voice speaks rather lousily and quickly over static before a click.,1
261,common_voice_en_645000.mp3,Adult female with low-pitch voice and clear pronunciation.,0
262,common_voice_en_23929938.mp3,A young American female speaks in a monotone with a bit of vocal fry at the end.,1
263,common_voice_en_23929938.mp3,adult male with high pitched and monotone voice,0
264,common_voice_en_34314.mp3,A very quiet recording of an elderly male with a very raspy voice who sounds like he's sick speaking theatrically.,1
265,common_voice_en_34314.mp3,male with deep mature voice and slow speech ,0
266,common_voice_en_21915280.mp3,A male speaks one word in a very flat voice.,1
267,common_voice_en_21915280.mp3,adult male with high pitched and monotone voice,0
268,common_voice_en_19803733.mp3,A mature American woman speaks in an assertive Clintonesque voice.,1
269,common_voice_en_19803733.mp3,"Mature female with American accent, upsetting monotone soft voice and clear pronunciation.",0
270,common_voice_en_18605318.mp3,"An American woman with a deep, pleasant, controlled, soporific voice speaks over lots of white noise.",1
271,common_voice_en_18605318.mp3,"High pitched young childlike female voice with unclear heavy accent and clear pronunciation, with unnatural rhythmic speech, loud rumbling noise in the background.",0
272,p306_211_mic1.flac,A young American female speaks in an average manner.,1
273,p306_211_mic1.flac,"Adult American woman with a clear voice but monotone, uninterested speech, takes a deep breath in the beginning.",0
274,common_voice_en_22160668.mp3,A woman with a childlike voice speaks unintelligibly.,1
275,common_voice_en_22160668.mp3,"Mature female with strong and monotone voice, American accent, clear pronunciation and slow pace.",0
276,common_voice_en_28532145.mp3,A normalized recording of a young American male speaking assertively.,1
277,common_voice_en_28532145.mp3,"Low pitched adult male voice with American accent and clear pronunciation, with a rather calm monotonous speech with pauses.",0
278,common_voice_en_21773879.mp3,A mature American woman speaks calmly.,1
279,common_voice_en_21773879.mp3,"Adult male with monotone voice, clear pronunciation and slow pace.",0
280,common_voice_en_18644894.mp3,Adult male with a slightly lower pitched voice with unclear pronunciation.,1
281,common_voice_en_18644894.mp3,Late teenage girl with American accent and mid-pitched voice with clear pronunciation,0
282,common_voice_en_94934.mp3,"Mature male with menacing, monotone and emotionless voice with unclear pronunciation.",1
283,common_voice_en_94934.mp3,Adult female speaks fast and clear with background noise of a click,0
284,common_voice_en_595146.mp3,A low quality audio recording of a mature woman with a flat emotionless voice speaking slowly with clear pronunciation.,1
285,common_voice_en_595146.mp3,"Teenage or young adult female with a slightly dismissive, uninterested tone.",0
286,common_voice_en_18755469.mp3,Adult male with a monotone low pitched voice and clear pronunciation.,1
287,common_voice_en_18755469.mp3,Adult low pitched male voice with clear pronunciation speaks confidently,0
288,common_voice_en_20143893.mp3,"Mature male with emotional, pleasant and convincing voice with clear pronunciation.",1
289,common_voice_en_20143893.mp3,Adult male with deep flat voice speaks emotionless,0
290,common_voice_en_18745868.mp3,Adult male with a serious emotionless voice and clear pronunciation.,1
291,common_voice_en_18745868.mp3,"Young male with a high voice, speaks in a fast robotic manner.",0
292,common_voice_en_19842385.mp3,"Aged female with high pitched, a bit robotic, unpleasant and peaky voice with American accent.",1
293,common_voice_en_19842385.mp3,"An adult male with an American accent, clear pronunciation and an emotionless voice. ",0
294,common_voice_en_132560.mp3,Mature male with a flat monotone voice speaks indistinctly.,1
295,common_voice_en_132560.mp3,"Brittish accent, young female voice, formal, clear and easy to understand pronounciation even though harder words are used, there is a slight humming noise in the background.",0
296,common_voice_en_18040207.mp3,Adult male with a low pitched emotionless voice and clear pronunciation.,1
297,common_voice_en_18040207.mp3,"Middle-aged man with very clear and calm speech, sounds friendly.",0
298,common_voice_en_698588.mp3,"Teenager with deep, unclear pronunciation, emotionless voice with Irish accent recorded with a background noise of other people talking.",1
299,common_voice_en_698588.mp3,Adult female with clear pronunciation speaks emotionless,0
300,common_voice_en_13765791.mp3,"Mature male with confident, calm and monotone voice with Indian accent and unclear pronunciation.",1
301,common_voice_en_13765791.mp3,An adult male with a thick foreign accent speaking in a low voice and slowly.,0
302,common_voice_en_21868892.mp3,"Mature female with seductive, emotional, mysterious and confident voice with American accent.",1
303,common_voice_en_21868892.mp3,Adult male with lively voice speaks quietly.,0
304,p283_463_mic1.flac,Young female speaking distinctly with a higher pitched voice.,1
305,p283_463_mic1.flac,Teenage girl with a light British accent and mid-pitched voice with clear pronunciation,0
306,common_voice_en_19351871.mp3,"Mature female with loud, peaky, high pitched and childlike voice with Indian accent and unclear pronunciation.",1
307,common_voice_en_19351871.mp3,Man speaks without pausing between words and some words are incomprehensible.,0
308,common_voice_en_181671.mp3,"Mature male with high pitched, emotional and clear pronunciation voice.",1
309,common_voice_en_181671.mp3,Adult male with lively voice speaks quietly.,0
